Predicted Close value,Actual Close Value
2.982493648,3.46
11.87847106,12.21
2.241761578,2.5727
16.8794112,17.66
5.807830419,6.11
63.57116658,63.36
32.70191597,33.89
2.195591372,2.62
2.142608717,2.58
36.21389211,36.65
28.84826162,28.75
6.30780352,6.49
3.398413047,3.74
26.34624889,27.19
69.04699399,68.82
23.5603048,23.72
3.455722254,3.85
10.10248839,8.89
4.799866301,5.24
150.4440039,148.98
3.057649275,3.31
59.7483105,58.5
9.132499444,9.63
14.61445952,15.14
4.976399319,5.21
20.94268025,21.53
25.01233199,25.23
26.5924479,26.87
16.38051644,15.79
13.42864913,13.97
1.546182511,1.86
5.542703971,5.62
41.7220047,42.9
36.66294346,37.35
65.63078986,66.26
527.2629439,529.95
35.11278927,36.02
49.83333734,50.68
5.163305307,5.55
16.79827441,16.88
11.16796258,11.54
11.14568223,11.14
14.44622118,15.01
10.87846318,11.35
7.031845773,7.2
0.603628668,0.95
3.645762856,3.96
0.61184269,0.95
0.864984674,1.19
2.497900956,2.93
39.99004494,39.65
0.1579965,0.51
34.53637925,35.54
14.66174969,14.85
12.52781317,13.29
26.04597122,26.13
31.54915655,32.22
3.740261413,4.17
38.19822032,38.83
0.825669504,1.12
36.76416985,37.71
55.24030411,56.84
12.60719671,12.6
547.034544,545.21
12.23804724,12.58
22.76803835,22.86
8.019884592,7.88
416.9613463,409.54
19.81498697,19.76
8.761388443,8.42
41.89566292,42.99
41.29185399,40.66
116.2371809,118.06
87.71065957,89.19
-0.169872876,0.21
0.062275226,0.4
58.58919084,57.81
0.051013356,0.43
12.01664337,11.99
35.62464783,34.39
1.88145398,2.16
86.42203135,86.29
9.029686195,9.39
49.29343674,49.95
52.33566728,51.37
16.21711208,16.79
630.4143762,615.02
10.20616034,10.82
9.124871333,9.4
11.0128126,10.49
70.65692989,71.1
13.9225581,14.34
3.152837991,3.26
4.556204725,4.91
0.52360519,0.9
2.818965421,3
13.23057493,13.62
526.3060679,535.94
53.91752937,54.19
46.19572331,45.87
87.2311071,87.37
58.13039881,56.96
45.49327944,45.09
63.93882336,64
4.318151984,4.64
-0.087146631,0.3
10.93546532,11.38
59.69070404,60.96
2.099843875,2.24
21.17464902,21.03
1.416130749,1.69
4.976062455,5.31
62.61496828,62.81
107.1066939,109.64
9.327445316,9.87
85.32917142,86.13
140.3689983,142.2
2.295824568,2.63
39.80993219,40.14
29.64737616,29.92
13.59468308,14.39
1.283990461,1.675
8.361786395,8.51
42.09384256,38.88
0.676395862,1.07
43.22604395,42.41
9.61672905,10.05
26.83910439,27.5
11.30814742,11.77
4.22574708,4.32
87.88530114,89.89
0.900652379,1.21
0.597414858,0.89
101.4888822,101.57
26.84654586,25.52
30.88949232,32.08
27.92014126,28.75
21.89293045,22.3
82.73177061,83.66
9.1872127,9.7
23.22057553,23.73
60.22083733,61.97
53.10092574,53.69
5.340390857,5.37
5.423618839,5.89
1.589469587,1.9
14.31705116,14.9
18.65527715,19.57
3.755093365,4.14
25.93389433,25.45
-0.248366496,0.15
32.85156233,33.74
43.25220829,43
40.53215752,40.8
24.06697151,23.24
9.591165116,9.36
0.768326722,1.14
2.178942995,2.56
64.52972202,64.41
3.737150386,4.08
0.039418201,0.4
0.062908419,0.42
9.771368439,10.32
0.642492137,1.05
1.633896193,1.94
15.8728459,15.7
-0.177595935,0.2
47.86796071,48.37
87.47046735,88.15
16.82252668,17.16
1.323445003,1.79
29.3862976,29.12
38.43629452,39.58
16.05675241,16.64
21.93169727,22.17
139.3282222,139.64
0.55413524,0.93
1.456784421,1.76
4.219804959,4.71
28.19069833,28.63
0.691351091,1.08
8.359066671,9.02
12.08979113,12.61
4.722193802,5.01
195.6682857,195.69
0.42503892,0.8
14.34719993,15.14
8.205790723,8.25
199.4880059,203.97
1.02915533,1.43
22.03570408,22.6
29.91201593,30.5
6.669440003,6.92
7.623257299,8.03
6.514201297,6.61
245.4354156,247.11
18.6809145,18.69
4.389051892,4.63
6.760842379,6.52
1.255337647,1.63
42.16186214,43.29
2.172531495,2.5
0.930026736,1.25
33.06545252,34.21
29.01018908,29.51
12.71810337,13.11
287.0326684,291.29
24.98398266,25.41
0.107929711,0.481
60.59722344,61.24
29.97669645,30.69
15.07514347,15.15
13.08125529,13.5
8.49411106,8.76
1.800590879,2.12
13.4392903,13.61
8.087600148,8.21
51.87220599,51.07
21.18924176,21.48
81.59851569,81.67
4.395207188,4.7
1.143394759,1.47
6.113163624,6.08
15.5860519,16.12
1.946121688,2.36
4.673989101,5.07
3.175105527,3.55
25.46878386,26.05
0.739568112,1.08
46.06022643,44.27
1.750998099,2.145
8.603626975,8.75
142.8836368,142.69
3.411413763,3.84
16.96046791,16.93
0.66586424,1.02
6.426420361,6.72
0.500963336,0.82
17.37659841,17.67
16.27925617,16.86
13.87352342,13.97
10.93122192,11.04
153.7145642,156.16
12.61744749,12.51
16.07025171,16.77
1.30009396,1.65
57.47050819,56.63
-0.004383953,0.36
21.34884754,21.99
7.032553377,6.93
57.99697483,58.47
93.43977363,93.44
60.19790165,59.68
12.75373611,12.83
2.042379099,2.43
312.4898649,309.21
68.10590005,69.17
77.20400152,78.4
0.542655111,0.945
6.912456067,7.02
35.46868956,36.18
1.21691326,1.55
37.95416536,38.36
43.10188829,43.66
42.7569919,43.62
8.05495923,8.22
27.79474319,28.25
23.70875271,23.97
1.272306351,1.5007
24.83240036,25.59
9.972502491,10.47
2.615082436,3.04
26.2361315,26.19
33.19737932,34
4.895247544,4.72
0.652318615,1.02
3.503149461,3.76
22.75494166,23.4
3.474058616,3.76
0.762843159,1.1
19.8864703,20.45
-0.171175695,0.2
10.10280688,10.54
17.35170621,17.48
14.81726865,13.96
6.327789327,6.29
18.43585095,18.6
26.14895318,24.32
8.495340488,9.09
3.077163708,3.38
14.88717603,15.37
97.82120997,99.07
2.109856488,2.5302
188.7245896,191.85
1.605775938,1.975
13.66521375,13.89
1.17162081,1.5
13.96980705,14.18
3.962792491,4.39
23.35145668,23.27
22.42333425,22.58
9.203353653,9.74
0.872983525,1.21
0.722962121,1.09
22.40939835,23.1
12.00768678,12.37
0.61070644,1.01
2.299383914,2.71
7.751476737,8.26
62.84487634,63.93
95.62290289,95.57
32.3456053,32.64
35.5532938,36.42
179.2664603,180.62
29.92799615,30.03
12.07915779,11.98
11.83049793,11.86
1.708488396,1.72
0.654184348,1.03
25.91372582,26.12
0.644070749,1
32.46694147,33.22
22.44120948,23.06
8.242118254,7.85
72.93384317,72.88
1.724130326,1.99
2.854008179,3.15
208.0468788,205.39
3.186071565,3.7
68.20425294,69.38
14.41969494,14.73
-0.0387057,0.33
1.717933997,2
25.57246545,26.04
9.437294517,9.59
13.49442674,14.19
0.049746971,0.39
10.55627766,11.03
17.71951529,17.42
19.09951259,19.78
15.98309315,16.32
2.280156572,2.66
64.58818186,65.01
23.34143181,23.19
14.65984137,15.09
5.495707141,5.84
22.1468602,22.4
9.257441962,9.49
3.528550537,3.64
165.178859,165.81
30.53511422,30.89
6.537582141,6.93
3.034948906,3.46
0.988401024,1.38
10.67346222,10.99
0.38481201,0.728
1.516166256,1.85
18.84842934,18.99
5.349076252,5.2
4.221278861,4.7
16.38284695,16.68
33.21534785,32.55
34.31508327,35.26
26.33584046,25.74
42.81297072,43.5
23.67525627,24.22
8.153162414,8.5
0.895955087,1.25
4.032136431,4.38
5.518047506,5.66
48.23526305,49.23
40.48633659,41.08
3.240359146,3.66
4.207602337,4.66
123.1076011,121.47
5.774205045,6.22
0.48644092,0.87
8.619275494,8.79
6.851144854,7
31.24518004,31.68
10.65921618,10.84
30.80754979,31.91
51.44815688,52.77
1.359331458,1.46
0.188958173,0.56
150.1771345,148.49
2.0510327,2.52
45.08904524,45
7.161656141,7.74
68.2895825,67.34
49.42403004,50.12
17.46886305,17.61
37.66648696,37.58
8.809887657,8.99
0.399767239,0.74
8.237461088,8.36
11.89962104,12.45
18.3270756,18.41
27.79783147,28.39
14.14312483,14.59
74.33150166,73.8
10.8352819,11.01
3.515166181,3.5
45.28056364,45.67
-0.28711185,0.08
-0.200870983,0.16
14.48457673,14.29
98.44864786,99.59
14.91416142,15.37
17.22916136,17.71
19.29072856,19.26
17.40196048,17.81
0.014682657,0.39
22.01695867,20.41
24.21645995,23.25
10.76235289,11.36
26.57914203,26.31
81.83308618,83.31
1.570187806,1.82
4.605809824,4.71
0.424308672,0.81
9.750300033,10.33
4.860318827,5.16
169.4852702,170.16
0.216441657,0.61
1.526207672,1.89
18.40796384,18.74
18.01682976,18.71
1.58251321,1.87
9.85313792,10.27
33.90729207,33.84
0.721561456,1.09
82.73892292,81.14
78.52806543,77.39
0.156287754,0.505
202.8361371,200.31
18.46159925,19.4
1.220037103,1.64
25.65421853,26.04
0.945126267,1.29
5.13262606,5.5
