Predicted Close value,Actual Close Value
45.19398685,3.46
-42.7592795,12.21
-52.39599965,2.5727
-37.75833744,17.66
28.62829462,6.11
38.66250995,63.36
-21.93585491,33.89
44.40708347,2.62
21.98292973,2.58
44.8653713,36.65
-25.78945467,28.75
35.09524374,6.49
45.60989519,3.74
1.437535654,27.19
111.2584249,68.82
-31.0775998,23.72
45.66720779,3.85
51.75675882,8.89
-49.83789983,5.24
95.80662374,148.98
-51.58012942,3.31
5.1106202,58.5
-45.50522435,9.63
56.82593804,15.14
-49.66136311,5.21
-33.69499529,21.53
67.22390573,25.23
68.80399826,26.87
-38.25727663,15.79
-41.20921744,13.97
43.75766673,1.86
46.38491348,5.62
16.81340787,42.9
-17.97466452,37.35
74.2823868,66.26
472.6261958,529.95
-19.52490873,36.02
-4.804277367,50.68
47.37480641,5.55
-37.83944726,16.88
53.3794557,11.54
49.45077285,11.14
-40.19152707,15.01
53.08996944,11.35
-47.60591658,7.2
-54.03413768,0.95
26.68100638,3.96
9.263216187,0.95
42.13678139,1.19
-52.13986122,2.93
-14.64767158,39.65
42.3694807,0.51
76.74791516,35.54
-39.97596821,14.85
-12.38090993,13.29
68.25735224,26.13
73.76073627,32.22
-50.89749476,4.17
-16.43944129,38.83
43.03714052,1.12
76.05607084,37.71
0.602666479,56.84
-42.0305923,12.6
575.1988047,545.21
32.07839764,12.58
-31.86969469,22.86
42.05611002,7.88
362.3238841,409.54
28.46639758,19.76
-45.87653466,8.42
48.68122501,42.99
-13.34585144,40.66
147.2602134,118.06
33.07321956,89.19
42.04161368,0.21
42.27376017,0.4
100.8007456,57.81
42.26249963,0.43
54.22814552,11.99
77.83595666,34.39
41.0859453,2.16
95.07368616,86.29
17.68108585,9.39
85.79318053,49.95
-2.302035737,51.37
-38.42061191,16.79
575.7772769,615.02
52.41765955,10.82
-45.51287599,9.4
42.03529482,10.49
78.18731288,71.1
-40.71516004,14.34
-51.48495275,3.26
41.97531204,4.91
37.23794409,0.9
38.92920479,3
21.88197363,13.62
563.3574804,535.94
96.12918391,54.19
88.40729623,45.87
32.59357317,87.37
100.3419711,56.96
-9.144428436,45.09
106.150486,64
-50.31960993,4.64
40.75508719,0.3
53.14699213,11.38
5.052918158,60.96
44.31131622,2.24
-33.46310677,21.03
38.0364944,1.69
47.18755731,5.31
82.45550195,62.81
52.46910296,109.64
-45.31030755,9.87
127.5409913,86.13
182.5810416,142.2
42.22521765,2.63
82.02155264,40.14
71.85879732,29.92
-41.04307417,14.39
-53.35377297,1.675
-16.54696704,8.51
-12.5441701,38.88
-53.96136881,1.07
-11.41173794,42.41
51.82824413,10.05
1.930416693,27.5
-43.3296217,11.77
46.43720316,4.32
112.1691509,89.89
-53.73713615,1.21
42.80889639,0.89
110.1405918,101.57
24.30888765,25.52
-23.74824732,32.08
-26.71758303,28.75
-32.74479637,22.3
119.7819161,83.66
-15.7214989,9.7
-31.41714365,23.73
102.4324539,61.97
80.72070685,53.69
13.99175284,5.37
47.63511803,5.89
-53.04829784,1.9
-40.32069635,14.9
41.69047664,19.57
45.96657322,4.14
63.76912317,25.45
8.403007598,0.15
-21.78612568,33.74
82.98034488,43
82.74378549,40.8
-30.57081348,23.24
-45.04661413,9.36
-53.86943705,1.14
44.39042565,2.56
9.891863396,64.41
45.17003285,4.08
42.25090246,0.4
-54.57485907,0.42
51.98287016,10.32
-53.99527178,1.05
-53.00387791,1.94
-38.76493632,15.7
40.55053446,0.2
90.07961752,48.37
96.12214568,88.15
59.03404192,17.16
43.5349255,1.79
-25.25143004,29.12
-16.20149413,39.58
35.89713886,16.64
54.5516992,22.17
131.2000005,139.64
42.7656248,0.93
43.6682712,1.76
-50.41799181,4.71
-26.44699707,28.63
42.90283984,1.08
-46.27872993,9.02
54.30132512,12.61
46.93368826,5.01
228.288722,195.69
42.63652427,0.8
-40.29054728,15.14
-16.70296266,8.25
196.9509485,203.97
-53.60861271,1.43
-32.60199456,22.6
-24.7256602,30.5
48.10905032,6.92
49.83476762,8.03
-48.12356873,6.61
287.6477346,247.11
-6.22779471,18.69
46.60049876,4.63
-47.87696371,6.52
43.46682214,1.63
59.76050634,43.29
44.38402228,2.5
-53.70773996,1.25
-21.57241824,34.21
-25.62755604,29.51
-12.19058447,13.11
301.6049261,291.29
67.19554122,25.41
-54.52983805,0.481
5.959501068,61.24
-24.66099343,30.69
57.28664969,15.15
55.2927775,13.5
17.14549972,8.76
44.01207213,2.12
-41.19845128,13.61
-46.55016892,8.21
67.23557267,51.07
63.40080022,21.48
123.8100755,81.67
24.23551256,4.7
43.35487814,1.47
-48.52464254,6.08
-39.05167589,16.12
38.56649912,2.36
46.88549138,5.07
0.637550023,3.55
45.30916137,26.05
20.57987853,1.08
77.08275936,44.27
-52.88676374,2.145
-46.03412525,8.75
172.6112336,142.69
-51.22634409,3.84
-7.948231759,16.93
42.87735195,1.02
48.63792493,6.72
32.11416479,0.82
-37.26110819,17.67
55.43678305,16.86
56.08500082,13.97
-43.70653099,11.04
99.07704743,156.16
54.82895034,12.51
58.28174962,16.77
28.23501992,1.65
2.832810871,56.63
39.09943473,0.36
-33.28892702,21.99
49.24401425,6.93
3.359334988,58.47
38.80222818,93.44
69.78239888,59.68
-41.88402535,12.83
-52.59537905,2.43
354.702178,309.21
13.46791583,69.17
105.0319576,78.4
42.75413962,0.945
40.73391681,7.02
49.30184486,36.18
-18.10070516,1.55
80.16575929,38.36
85.31350346,43.66
50.32771671,43.62
27.89528327,8.22
43.15822461,28.25
65.92026606,23.97
41.53729456,1.5007
44.67278228,25.59
-44.6652159,10.47
37.36951238,3.04
-28.40165336,26.19
75.40895957,34
-49.74255835,4.72
-0.09313605,1.02
44.00977449,3.76
64.96650115,23.4
43.65851802,3.76
-53.87492828,1.1
-34.75127508,20.45
33.65699458,0.2
40.22596656,10.54
-37.28602056,17.48
53.15586184,13.96
-48.30999962,6.29
-36.20190412,18.6
68.36022561,24.32
50.70684342,9.09
45.28865455,3.38
-10.02155756,15.37
140.033076,99.07
-52.52791015,2.5302
197.37644,191.85
-53.03199223,1.975
26.51159327,13.89
40.14119526,1.5
56.18130817,14.18
23.97093059,4.39
65.56298512,23.27
-32.21439222,22.58
-45.43441997,9.74
-53.76479249,1.21
42.93444458,1.09
-32.2283334,23.1
-42.63005919,12.37
41.30527512,1.01
-22.60935143,2.71
49.96297427,8.26
8.207389072,63.93
121.2827752,95.57
-22.29223879,32.64
10.64465332,36.42
124.6292459,180.62
-24.70969873,30.03
-42.55860141,11.98
-42.80728045,11.86
30.49590082,1.72
-53.98358066,1.03
1.00507534,26.12
9.295447846,1
7.55829363,33.22
53.46384228,23.06
48.88964171,7.85
18.29628976,72.88
-52.91364485,1.99
39.22603524,3.15
153.4095783,205.39
43.25639893,3.7
81.64819204,69.38
56.63122474,14.73
-54.67647402,0.33
-52.91983293,2
-29.06526361,26.04
39.44634331,9.59
55.70593432,14.19
42.26123151,0.39
52.76777366,11.03
-36.91828874,17.42
-35.53819022,19.78
58.19461279,16.32
10.93154195,2.66
39.67958289,65.01
65.55289979,23.19
55.8914121,15.09
47.70720182,5.84
-2.761809596,22.4
32.01078409,9.49
41.10868501,3.64
207.3907443,165.81
67.15558172,30.89
-18.37115148,6.93
45.24644604,3.46
42.50854981,1.38
39.46092988,10.99
38.82413983,0.728
-53.12160681,1.85
-35.78929973,18.99
-49.28874298,5.2
-50.41647347,4.7
41.81433183,16.68
70.91637272,32.55
-20.32257226,35.26
68.54734332,25.74
-11.82472778,43.5
-30.96246016,24.22
-46.4846136,8.5
38.31505976,1.25
46.24362856,4.38
-49.11972957,5.66
90.44690213,49.23
-14.15134326,41.08
44.49202521,3.66
-50.4301489,4.66
68.46989129,121.47
-48.86353204,6.22
-2.051124358,0.87
-16.28944608,8.79
-47.78662914,7
73.45677193,31.68
-43.97853374,10.84
-23.83017914,31.91
73.36914769,52.77
41.01350923,1.46
38.33295879,0.56
188.4423024,148.49
35.20798663,2.52
-9.548838476,45
-47.47612076,7.74
102.6077126,67.34
74.12388496,50.12
-37.16886722,17.61
53.02996875,37.58
-45.82788188,8.99
-54.23800163,0.74
50.44895098,8.36
-13.0091279,12.45
-36.31065475,18.41
2.889066667,28.39
-40.49462595,14.59
103.1189661,73.8
25.07779371,11.01
-51.12263856,3.5
65.12095277,45.67
17.02948371,0.08
-54.83863841,0.16
-40.15318141,14.29
140.6603146,99.59
-39.72355894,15.37
-7.679540503,17.71
56.62255952,19.26
59.61349177,17.81
35.84974886,0.39
39.05825353,20.41
41.36511989,23.25
52.97382217,11.36
60.4006172,26.31
124.0447625,83.31
43.78167122,1.82
42.46118787,4.71
42.63579627,0.81
51.96178576,10.33
47.07178587,5.16
211.6973349,170.16
42.42792826,0.61
-53.11155478,1.89
-6.500768173,18.74
-36.62095542,18.71
43.7939964,1.87
-44.78461183,10.27
57.60038238,33.84
42.93304799,1.09
124.9504534,81.14
120.7396753,77.39
30.16531393,0.505
148.1988038,200.31
60.67309849,19.4
41.39777518,1.64
0.745558284,26.04
15.57691194,1.29
47.34410914,5.5
67.44570506,26.88
15.25308999,7.12
73.55827515,99.69
29.32572884,9.77
57.02433478,17.31
86.99048695,44.9
49.7697316,14.04
58.28330442,15.6
101.0259299,65.87
89.17470763,46.61
-50.9185512,4.16
33.48979845,89.44
-54.62588769,0.38
1.13569815,55.73
25.87019104,1.89
-50.40232964,4.24
12.10157535,65.16
47.61747772,5.72
27.04496135,7.46
49.50009471,7.66
156.2179931,137.1
-33.06769653,22.58
51.34119957,9.2
18.89678179,27.66
43.7869434,1.89
315.6995863,294.72
-30.92728478,24.1
244.4447579,201
40.2952463,1.3
44.50930132,2.65
17.20569194,70.53
-50.31652932,4.25
-26.16958153,29.11
41.54502396,0.369
45.64982122,6.85
-4.070228398,51.71
-47.2029363,7.87
32.06402073,3.9
-52.49588995,2.3336
-47.22324602,7.48
42.69098075,12.23
-31.58378567,23.1
-15.78908301,37.07
38.36395878,94.17
-25.19672458,30.4
47.44238147,5.68
46.74510449,4.89
-41.12386673,14.38
48.23939478,6.45
-38.03568967,16.37
-36.82539113,17.92
49.47820709,7.5
-2.124674589,51.34
15.59739155,67.99
45.59706911,3.81
-4.8202888,49.45
-27.93429953,26.29
-24.54864194,30.37
-16.68176048,38.72
-46.00709115,8.88
46.7836536,4.87
-39.45681606,15.27
-32.12033121,23.53
42.94031629,1.15
-43.9361808,11.23
40.44250006,0.87
-54.11658973,0.92
-11.34210567,13.98
-36.38260549,19.17
46.4818228,4.34
33.69689295,5.29
-0.365538523,55.3
80.82458203,52
40.97669184,2.02
43.64307094,2.65
62.17618779,21.04
105.4880074,63.96
48.03932344,5.92
52.73344072,105.48
135.1036694,90.46
20.25696655,0.66
44.92855228,2.82
-8.400310703,0.106
44.76576093,8.24
-48.64282941,5.86
208.5806885,168.87
-19.07910221,6.09
263.1773886,258.33
84.96772257,60.43
60.40102166,18.94
45.19537254,3.33
79.85302125,37.26
-33.62856652,21.1
122.093831,177.57
-41.21814252,14.18
-49.2915852,5.43
-45.32600222,9.23
107.4367134,64.45
34.71119045,1.57
38.2673997,0.26
43.02278015,1.16
